Subscription,Resource Group,Location,Type,Service Name,Broken,Category,Subcategory,Severity,Description,Result,Learn
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,true,Security,Private Endpoint,High,Storage should have private endpoints enabled,,https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,true,Security,TLS,Low,Storage Account should enforce TLS >= 1.2,,https://learn.microsoft.com/en-us/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,true,Reliability,Diagnostic Logs,Medium,Storage should have diagnostic settings enabled,,https://learn.microsoft.com/en-us/azure/storage/blobs/monitor-blob-storage
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,true,Operational Excellence,Naming Convention (CAF),Low,Storage Name should comply with naming conventions,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,cloud-shell-storage-westus,westus,Microsoft.Storage/storageAccounts,cs48d2c636f918dx4ef6x845,true,Reliability,Availability Zones,High,Storage should have availability zones enabled,,https://learn.microsoft.com/EN-US/azure/reliability/migrate-storage
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Security,HTTPS Only,High,Storage Account should use HTTPS only,,https://learn.microsoft.com/en-us/azure/storage/common/storage-require-secure-transfer
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Security,TLS,Low,Storage Account should enforce TLS >= 1.2,,https://learn.microsoft.com/en-us/azure/storage/common/transport-layer-security-configure-minimum-version?tabs=portal
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Operational Excellence,Naming Convention (CAF),Low,Storage Name should comply with naming conventions,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Security,Private Endpoint,High,Storage should have private endpoints enabled,,https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Reliability,Diagnostic Logs,Medium,Storage should have diagnostic settings enabled,,https://learn.microsoft.com/en-us/azure/storage/blobs/monitor-blob-storage
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Reliability,Availability Zones,High,Storage should have availability zones enabled,,https://learn.microsoft.com/EN-US/azure/reliability/migrate-storage
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,Utopia,westeurope,Microsoft.Storage/storageAccounts,utopiabar,true,Operational Excellence,Tags,Low,Storage Account should have tags,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Security,Private Endpoint,High,App Service should have private endpoints enabled,,https://learn.microsoft.com/en-us/azure/app-service/networking/private-endpoint
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Reliability,Diagnostic Logs,Medium,App Service should have diagnostic settings enabled,,https://learn.microsoft.com/en-us/azure/app-service/troubleshoot-diagnostic-logs#send-logs-to-azure-monitor
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Security,Security,High,App Service should have Always On enabled,,https://learn.microsoft.com/en-us/azure/app-service/configure-common?tabs=portal
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Security,Security,High,App Service should not allow insecure FTP,,https://learn.microsoft.com/en-us/azure/app-service/deploy-ftp?tabs=portal
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Operational Excellence,Naming Convention (CAF),Low,App Service Name should comply with naming conventions,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
a0e36c1b-7b3e-49ff-b98c-2e75c456d1a2,GlobalAI-Spain,northeurope,Microsoft.Web/serverfarms/sites,globalai,true,Reliability,Reliability,Medium,App Service should avoid using Client Affinity,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist
